id,Zestimate
18711,1235453
27611,675443
29765,1449552
45987,1407265
95453,1391903
197972,1423450
257588,1230166
533114,856774
601763,775683
708802,1314520
863788,791624
1881298,532529
2183058,525000
2723274,2961308
3985462,590722
4560053,652984
4909590,1496802
5717690,754050
5718921,1489056
6066455,884540
6119918,639669
6300089,380511
6465075,464687
6793945,2146978
7298966,437136
7527149,9919097
7531700,1525000
7540480,1561164
7614517,413425
7635616,1525000
7713815,1525000
7714627,480000
7728499,1525000
7832890,1525000
7837202,1525000
7854872,1525000
7911936,1525000
7920759,1244445
8231382,251021
8334845,542337
8732121,1525000
9133627,1525000
9231486,959328
9448243,449000
9813223,495947
10427882,868762
10634364,2749791
11462476,5902284
11760822,416438
12191871,722077
12290886,743799
13046581,493169
37209442,315497
34020206,323519
35617006,343700
39788966,350463
37535057,352778
28610562,424729
40406713,431863
31459791,435137
30257213,347412
38689783,385164
40991291,455788
34283601,465591
39893738,475849
39394763,526620
29281816,542953
39610492,555923
29189050,577773
33552900,594900
31429443,620775
37386681,845398
27459736,861517
31964808,1212189
39055515,1317823
37823144,372083
39901097,357039
26333739,839125
31952528,872030
32163985,353280
29486734,412199
35454839,433564
35185474,446945
32890952,462909
31761449,488601
37683530,494164
38845207,508534
30039424,527153
37583345,527455
27459750,544984
41587361,552041
27634728,557117
38662530,624349
29484467,627618
29486012,627618
32257076,652144
29486361,659949
29730126,663719
33265824,664510
29334384,679940
38128461,686725
38130280,686725
38131523,686725
36269383,712762
39445807,720306
34688974,749992
41637486,764372
40723172,776018
38217054,778667
29682500,788855
40723334,805077
32492523,830048
29366852,838669
38846151,852968
30065996,867116
34356588,931731
36775500,939163
36640907,952532
31983770,959038
27323777,1004847
28561917,1161953
38770785,1178511
35745427,1187431
41708314,1350848
38221386,1359359
38670469,1604879
29731261,1795753
26502776,1859508
29479677,474493
39174553,485544
29486450,638656
41820180,746167
29484724,782098
19455651,543612
18134498,767063
19290895,1561706
19291771,1011264
17616603,1906517
19581567,1242938
19670771,165887
19694483,485915
17892769,350293
18029534,594480
18159981,417045
18170647,314500
18194203,573110
18584689,482381
19219071,431396
19309434,441515
19373388,644098
19790139,589094
17559846,637500
18207334,409800
18517493,450000
19593368,779453
19744120,531002
17559756,423848
18354570,1163414
17333246,799999
17380802,769000
17508585,466708
17529340,936297
17592876,999000
17806747,685000
18070939,787426
18213171,672403
18388606,327421
18445635,688930
18518371,430000
18557609,1737200
18584402,520199
18647116,512898
18656728,502829
18719421,1811722
18829493,535250
18858706,693273
18934135,1563735
19019562,1563735
19051657,2777796
19065795,7337400
19065830,571061
19071875,538000
19081087,998631
19081593,11482500
19115310,1850000
19154786,570000
19292171,639000
19307193,2317853
19308245,901969
19310183,564608
19338355,1017138
19436968,465800
19448926,1545000
19469130,1173419
19469134,866902
19527633,372930
19544387,510267
19552273,544382
19695858,3177464
19823907,3177464
